global_step,correct,similar,incorrect,train_loss,eval_loss
23,0,35,74,4.46405029296875,-0.3651123046875
46,3,35,71,3.46502685546875,-1.141845703125
69,3,42,64,2.7800140380859375,-2.15380859375
92,6,48,55,2.02276611328125,-2.6396484375
115,13,53,43,1.6870250701904297,-3.09619140625
138,16,47,46,0.9402389526367188,-3.2529296875
161,16,49,44,0.8647432327270508,-3.59619140625
184,18,46,45,0.5927944183349609,-3.77783203125
207,16,53,40,0.49921131134033203,-4.0703125
230,18,42,49,0.1812303066253662,-4.1484375
253,18,48,43,0.20258021354675293,-4.2646484375
276,19,50,40,0.2463747262954712,-4.4560546875
299,19,47,43,0.1857215166091919,-4.5888671875
322,19,49,41,0.15028101205825806,-4.71875
345,19,48,42,0.06206357479095459,-4.7783203125
368,20,48,41,0.020478487014770508,-4.82421875
391,20,50,39,0.0581548810005188,-4.93359375
414,19,46,44,0.059766024351119995,-4.9072265625
437,20,50,39,0.010092288255691528,-5.033203125
460,20,51,38,0.13534528017044067,-5.1142578125
483,20,48,41,0.20883220434188843,-5.224609375
506,19,43,47,0.03025716543197632,-5.2451171875
529,19,45,45,0.013154655694961548,-5.2998046875
552,19,40,50,0.02495090663433075,-5.3916015625
575,20,49,40,0.2822870910167694,-5.423828125
598,19,42,48,0.03142142295837402,-5.4560546875
621,20,47,42,0.007065221667289734,-5.517578125
644,20,47,42,0.00657103955745697,-5.5234375
667,20,49,40,0.009054407477378845,-5.599609375
690,20,47,42,0.002452179789543152,-5.6611328125
713,20,47,42,0.001998424530029297,-5.6552734375
736,20,47,42,0.0042530447244644165,-5.63671875
759,20,41,48,0.002822309732437134,-5.6337890625
782,20,45,44,0.00977536290884018,-5.65234375
805,20,43,46,0.0015444457530975342,-5.685546875
828,20,45,44,0.0012343823909759521,-5.71484375
851,20,48,41,0.0012834295630455017,-5.720703125
874,20,48,41,0.0013365894556045532,-5.7314453125
897,20,43,46,0.0016796141862869263,-5.74609375
920,20,46,43,0.0013159438967704773,-5.748046875
943,20,47,42,0.0014005228877067566,-5.75390625
966,20,48,41,0.0013709068298339844,-5.7587890625
989,20,50,39,0.0013091489672660828,-5.7666015625
1012,20,48,41,0.0016487017273902893,-5.765625
1035,20,48,41,0.0018662437796592712,-5.765625
