global_step,correct,similar,incorrect,train_loss,eval_loss
12,10,46,53,2.9999542236328125,-5.5185546875
24,13,54,42,1.6942901611328125,-5.365234375
36,15,54,40,1.909419059753418,-6.1396484375
48,14,54,41,1.3488588333129883,-5.845703125
60,13,61,35,0.4250522255897522,-6.26171875
72,15,59,35,0.3270285129547119,-6.361328125
84,14,55,40,0.1579071283340454,-6.5478515625
96,18,53,38,0.12844040989875793,-6.4970703125
108,22,50,37,0.022763848304748535,-6.673828125
120,22,50,37,0.20438139140605927,-6.771484375
132,20,53,36,0.11748221516609192,-6.705078125
144,21,52,36,0.07539669424295425,-6.8701171875
156,20,54,35,0.014375254511833191,-6.986328125
168,21,58,30,0.17330679297447205,-6.9951171875
180,21,58,30,0.011462375521659851,-7.0078125
192,22,53,34,0.14553377032279968,-6.9091796875
204,21,55,33,0.003912925720214844,-6.9482421875
216,21,53,35,0.08114175498485565,-6.966796875
228,20,57,32,0.133902445435524,-7.052734375
240,20,56,33,0.03194922208786011,-7.1787109375
252,22,55,32,0.44558751583099365,-7.1728515625
264,22,56,31,0.0013763830065727234,-7.1552734375
276,23,57,29,0.0178210511803627,-7.2451171875
288,23,56,30,0.004137277603149414,-7.248046875
300,22,56,31,0.14835931360721588,-7.2626953125
312,22,56,31,0.1533372700214386,-7.236328125
324,21,57,31,0.002432294189929962,-7.2509765625
336,22,56,31,0.001800544559955597,-7.275390625
348,21,57,31,0.0018354803323745728,-7.263671875
360,22,56,31,0.0009219348430633545,-7.30859375
372,22,56,31,0.11879917979240417,-7.3232421875
384,22,56,31,0.007172159850597382,-7.3291015625
396,22,56,31,0.0012372806668281555,-7.357421875
408,22,57,30,0.008166417479515076,-7.359375
420,22,57,30,0.0019130408763885498,-7.3564453125
