global_step,correct,similar,incorrect,train_loss,eval_loss
12,0,38,71,4.822265625,-0.291015625
24,2,47,60,3.5289306640625,-0.9671630859375
36,3,34,72,3.052734375,-1.708984375
48,3,39,67,2.72198486328125,-2.019775390625
60,8,36,65,2.00579833984375,-2.00537109375
72,5,40,64,2.103607177734375,-2.68359375
84,9,40,60,1.1775970458984375,-2.9345703125
96,9,49,51,1.3630599975585938,-3.19677734375
108,11,44,54,1.5149459838867188,-3.34619140625
120,13,45,51,0.8471755981445312,-3.4814453125
132,14,42,53,0.6750030517578125,-3.59228515625
144,15,42,52,0.6173934936523438,-3.61181640625
156,16,43,50,0.7058849334716797,-3.80859375
168,19,38,52,0.7585926055908203,-3.875
180,19,41,49,0.47916126251220703,-3.93896484375
192,18,43,48,0.16992950439453125,-4.00146484375
204,20,42,47,0.48533010482788086,-4.0927734375
216,19,42,48,0.6713790893554688,-4.1171875
228,19,47,43,0.2911982536315918,-4.2529296875
240,19,43,47,0.3037099838256836,-4.203125
252,20,43,46,0.13841533660888672,-4.25390625
264,20,43,46,0.2659292221069336,-4.2705078125
276,20,46,43,0.16853570938110352,-4.2578125
288,20,45,44,0.2668924331665039,-4.291015625
300,20,45,44,0.4202909469604492,-4.310546875
