global_step,correct,similar,incorrect,train_loss,eval_loss
45,13,50,46,2.8602066040039062,-5.919921875
90,18,54,37,1.1143951416015625,-6.2099609375
135,18,59,32,0.9075692892074585,-6.8203125
180,20,56,33,0.3669075667858124,-7.03125
225,21,49,39,0.06469272822141647,-7.228515625
270,20,56,33,0.12802094221115112,-7.20703125
315,19,56,34,0.12152741849422455,-7.3369140625
360,22,54,33,0.12605100870132446,-7.2705078125
405,23,56,30,0.030579455196857452,-7.5009765625
450,23,53,33,0.018383275717496872,-7.5400390625
495,21,55,33,0.11423185467720032,-7.646484375
540,21,54,34,0.06484226882457733,-7.783203125
585,20,55,34,0.003965169191360474,-7.8330078125
630,22,47,40,0.0009492486715316772,-7.962890625
675,22,51,36,0.005310822278261185,-7.8408203125
720,25,49,35,0.004692647606134415,-7.8466796875
765,23,52,34,0.0742625966668129,-7.904296875
810,24,51,34,0.06612735986709595,-7.8515625
855,21,55,33,0.07917597889900208,-8.087890625
900,24,55,30,0.00015311315655708313,-8.1796875
945,22,53,34,0.00303548201918602,-8.2890625
990,23,54,32,0.0005415342748165131,-8.212890625
1035,23,56,30,0.0005058199167251587,-8.2734375
1080,23,55,31,0.0007206164300441742,-8.255859375
1125,23,56,30,0.0003253258764743805,-8.265625
1170,23,55,31,0.0018325038254261017,-8.1953125
1215,23,53,33,0.0004894770681858063,-8.318359375
1260,23,56,30,0.0010720007121562958,-8.345703125
1305,22,55,32,6.041675806045532e-05,-8.33203125
1350,22,56,31,0.0003382377326488495,-8.30078125
1395,23,55,31,0.0001724548637866974,-8.369140625
1440,22,55,32,6.537884473800659e-05,-8.458984375
1485,22,55,32,0.071478471159935,-8.474609375
1530,22,57,30,8.514523506164551e-05,-8.478515625
1575,23,56,30,5.4564327001571655e-05,-8.482421875
1620,22,55,32,5.146488547325134e-05,-8.49609375
1665,22,54,33,4.283338785171509e-05,-8.517578125
1710,22,55,32,0.00013468042016029358,-8.552734375
1755,22,56,31,6.779655814170837e-05,-8.583984375
1800,22,54,33,8.560344576835632e-05,-8.595703125
1845,22,55,32,6.023421883583069e-05,-8.646484375
1890,23,53,33,2.8830021619796753e-05,-8.62890625
1935,23,54,32,0.00011618062853813171,-8.56640625
1980,22,56,31,0.20687809586524963,-8.54296875
2000,23,53,33,4.1892752051353455e-05,-8.5234375
2025,23,53,33,0.0003025531768798828,-8.52734375
2070,23,53,33,0.07852628082036972,-8.595703125
2115,23,52,34,0.08687582612037659,-8.6328125
2160,23,52,34,5.655363202095032e-05,-8.654296875
2205,23,52,34,7.088109850883484e-05,-8.673828125
2250,23,51,35,9.448081254959106e-05,-8.6796875
2295,22,51,36,0.0004818476736545563,-8.63671875
2340,22,52,35,6.601214408874512e-05,-8.623046875
2385,23,51,35,8.709728717803955e-05,-8.625
2430,23,51,35,3.142654895782471e-05,-8.654296875
2475,23,53,33,6.410852074623108e-05,-8.6484375
2520,23,53,33,8.399784564971924e-05,-8.64453125
2565,23,52,34,6.48200511932373e-05,-8.662109375
2610,23,52,34,5.212053656578064e-05,-8.671875
2655,23,52,34,5.8241188526153564e-05,-8.693359375
2700,23,53,33,0.0003792569041252136,-8.693359375
2745,23,53,33,3.4675002098083496e-05,-8.693359375
2790,23,52,34,2.9072165489196777e-05,-8.697265625
2835,23,53,33,0.06596784293651581,-8.701171875
2880,23,53,33,4.384666681289673e-05,-8.69921875
2925,23,53,33,3.9696693420410156e-05,-8.69921875
